Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Olof,Linde,Åkergatan 7,Karlskoga,66141,Sverige,SE,19771210-3618,+46,000-18 31 75,1977-12-10,True
Ariel,Vasquez,Watson Lock 85630,South Chad,41750,Danmark,DK,19670112-9501,+45,589.215.7029,1967-01-12,True
Sarah,Mcdonald,Jeffrey Via 828,South Cherylland,95637,Danmark,DK,19921207-7888,+45,001-501-327-9913,1992-12-07,True
Samuel,Hernandez,Amy Hill 04620,Port Stephanieshire,17387,Danmark,DK,19680312-2567,+45,+1-820-654-3646x544,1968-03-12,True
Lennart,Andersson,Grangatan 26,Linköping,18772,Sverige,SE,19851004-6492,+46,08-69 36 06,1985-10-04,True
Pål,Hauge,Olsenvika 71,Ruthsjøen,8390,Norge,NO,19641003-0931,+47,49815394,1964-10-03,True
Claudia,Jönsson,Parkgatan 97,Karlstad,17160,Sverige,SE,19720618-2119,+46,+46 (0)02 32 24 30,1972-06-18,True
Else,Thomassen,Haugstykket 126,Haug,6155,Norge,NO,19890119-8489,+47,45 61 54 65,1989-01-19,True
Nina,Brekke,Haugenjordet 2,Malinvåg,8338,Norge,NO,19850624-9692,+47,46345579,1985-06-24,True
Olof,Olsson,Kyrkvägen 78,Skellefteå,32023,Sverige,SE,19680820-4147,+46,+46 (0)635 180 29,1968-08-20,True
Juan,Patterson,Michelle Ferry 7735,Elainemouth,73022,Danmark,DK,19450713-9469,+45,(212)259-0850,1945-07-13,True
Anas,Andersson,Furustigen 2,Falun,44148,Sverige,SE,19750729-4704,+46,08-74 68 97,1975-07-29,True
Elisabeth,Hellström,Kyrkogatan 212,Mölndal,14406,Sverige,SE,19860520-7631,+46,019-63 07 97,1986-05-20,True
Helena,Söderström,Fabriksvägen 4,Luleå,51419,Sverige,SE,19430729-5209,+46,08-579 56 18,1943-07-29,True
Gunnar,Engdahl,Aspgränd 05,Östersund,36888,Sverige,SE,19830322-0339,+46,+46 (0)678 321 25,1983-03-22,True
Elin,Holm,Gulbrandsenstubben 8,Andersøy,8479,Norge,NO,19960215-8923,+47,05325501,1996-02-15,True
Margot,Nilsson,Aspvägen 030,Trollhättan,36256,Sverige,SE,19490605-5303,+46,0358-51 99 75,1949-06-05,True
Michael,Cordova,Alan Glens 14460,Port Valeriestad,31179,Danmark,DK,19650902-8790,+45,001-870-242-8877x94126,1965-09-02,True
Nathan,Lopez,Miller Dale 7266,Burtonview,19689,Danmark,DK,19691206-6044,+45,001-255-660-2759,1969-12-06,True
Rachel,Ramirez,Brian Drive 718,Leeland,06852,Danmark,DK,19691118-4898,+45,001-394-742-0750,1969-11-18,True
Vanessa,Wells,Janice Garden 6693,Richardland,58636,Danmark,DK,19740815-0001,+45,(422)620-3285,1974-08-15,True
Arvid,Gullberg,Fabriksstigen 789,Norrköping,26707,Sverige,SE,19410522-7527,+46,+46 (0)8 167 997 60,1941-05-22,True
Birger,Blomgren,Kyrktorget 982,Sundsvall,94145,Sverige,SE,19590820-8743,+46,017-945 36 68,1959-08-20,True
Mårten,Sandberg,Storvägen 270,Lidingö,70048,Sverige,SE,19791113-7150,+358,0955-98 82 76,1979-11-13,True
Lukas,Ekelund,Trädgårdsstigen 48,Ängelholm,91188,Sverige,SE,19700324-5537,+46,0181-852 69,1970-03-24,True
Margaretha,Ek,Skogstorget 195,Gävle,61394,Sverige,SE,19590412-7992,+46,065-48 26 62,1959-04-12,True
Daniel,Andersson,Industrigränd 0,Norrköping,69728,Sverige,SE,19410414-0441,+46,+46 (0)510 716 82,1941-04-14,True
Ashley,Beltran,Matthew Crossroad 704,Kevintown,34138,Danmark,DK,19920312-4915,+45,001-318-531-1476x27351,1992-03-12,True
Sara,Nilsson,Skogsvägen 50,Helsingborg,59847,Sverige,SE,19960203-3741,+46,053-14 22 96,1996-02-03,True
Malin,Johansson,Trädgårdsstigen 4,Örnsköldsvik,56126,Sverige,SE,19590715-8165,+46,0689-585 16,1959-07-15,True
Sara,Blom,Parkgränd 10,Göteborg,65020,Sverige,SE,19420224-2514,+46,0012-227 23,1942-02-24,True
Bjørn,Svendsen,Dahlberget 33A,Ruud,9433,Norge,NO,19670807-6553,+47,51 15 95 08,1967-08-07,True
Linnea,Bengtsson,Skolstigen 73,Västerås,93935,Sverige,SE,19910802-3752,+46,08-295 779 88,1991-08-02,True
Krzysztof,Karlsson,Ringgränd 83,Piteå,64208,Sverige,SE,19730711-6635,+46,08-592 769 61,1973-07-11,True
Sven-Erik,Axelsson,Ängstorget 42,Östersund,64029,Sverige,SE,19740328-3064,+46,+46 (0)89 99 42 00,1974-03-28,True
Linn,Edvardsen,Haugenskogen 78,Theahavn,8473,Norge,NO,19990526-2718,+47,61968114,1999-05-26,True
Karl,Lundström,Parkgatan 2,Trelleborg,71139,Sverige,SE,19470113-1975,46,08-72 13 17,1947-01-13,True
Ashley,Garrison,Jose Rest 2258,Caitlinside,22445,Danmark,DK,19910707-0447,+45,(859)684-0904x5863,1991-07-07,True
Elisabeth,Abrahamsen,Næsslyngen 8B,Trinesjøen,1368,Norge,NO,19630601-5155,+47,490 25 856,1963-06-01,True
Olavi,Ericsson,Trädgårdsgränd 54,Östersund,84036,Sverige,SE,19410310-4480,+46,0468-078 92,1941-03-10,True
Cathrine,Pettersen,Sæthertjernet 9,Sigridstrøm,4901,Norge,NO,19920327-2306,+47,474 18 929,1992-03-27,True
Tyler,Alvarez,Barron Row 23956,South Morganstad,99734,Danmark,DK,19691119-8757,+45,001-662-581-8556x49953,1969-11-19,True
Nina,Brekke,Karlsenstubben 3,Andreassen,0108,Norge,NO,19440824-8766,+47,48795708,1944-08-24,True
Mats,Nguyen,Genstigen 242,Örebro,83483,Sverige,SE,19950819-3521,+46,065-65 22 51,1995-08-19,True
Gun,Danielsson,Aspstigen 478,Borås,20112,Sverige,SE,19740412-3375,+46,08-327 049 71,1974-04-12,True
Benjamin,Beltran,White Loaf 8262,Stephanietown,18457,Danmark,DK,19761024-8600,+45,(721)622-6411,1976-10-24,True
Mikael,Jonasson,Skoltorget 69,Sundsvall,95232,Sverige,SE,19940214-1442,+46,+46 (0)59 09 03 32,1994-02-14,True
Holger,Åström,Fabrikstorget 9,Sandviken,96852,Sverige,SE,19951130-4329,+46,08-859 48 85,1995-11-30,True
Magne,Rønning,Johansenhagen 22,Dagstrøm,0435,Norge,NO,19730302-5978,+47,85 48 30 05,1973-03-02,True
Kristine,Evensen,Mathisenlunden 6A,Vildehelle,5373,Norge,NO,19721115-0063,+47,17 68 14 72,1972-11-15,True
Reidun,Jensen,Bakkenåsen 7,Berge,3491,Norge,NO,19560624-6594,+47,98033151,1956-06-24,True
August,Bäckström,Industrivägen 09,Nyköping,64759,Sverige,SE,19700226-7998,+46,+46 (0)8 057 316 41,1970-02-26,True
Marianne,Sørensen,Kristiansenfaret 819,Roarstrøm,7396,Norge,NO,19741015-3985,+47,+4792299051,1974-10-15,True
Casper,Ek,Aspvägen 3,Kalmar,55757,Sverige,SE,19690214-0247,+46,+46 (0)27 34 29 39,1969-02-14,True
Erik,Borg,Ekvägen 7,Ängelholm,94004,Sverige,SE,19461107-5277,+46,+46 (0)35 22 92 04,1946-11-07,True
Ingrid,Björk,Villagatan 99,Lund,94492,Sverige,SE,19590715-4568,+46,+46 (0)32 34 78 06,1959-07-15,True
Mats,Svahn,Villastigen 84,Östersund,95982,Sverige,SE,19681010-2468,+46,+46 (0)41 00 16 54,1968-10-10,True
Geir,Edvardsen,Ødegårdstien 473,Myklebust,9691,Norge,NO,19461228-7427,+47,51 25 05 39,1946-12-28,True
Jyrki,Savolainen,Graniittipolku 952,Isojoki,83437,Finland,FI,19560131-355H,+358,(+358) 369728631,1956-01-31,True
Mathias,Olsson,Genvägen 703,Mölndal,60627,Sverige,SE,19470315-2819,+46,+46 (0)55 97 01 98,1947-03-15,True
Margareta,Skog,Skolgatan 7,Borås,43251,Norge,SE,19541026-7306,+46,08-934 229 17,1954-10-26,True
Nils,Holm,Ruudalléen 67,Aasen,9221,Norge,NO,19690811-4109,+47,83644555,1969-08-11,True
Kim,Guzman,Williams Extension 2921,Williamfurt,04491,Danmark,DK,19830110-9202,+45,(265)983-4364,1983-01-10,True
Trine,Sandvik,Birkelandlia 06,Bøe,7322,Norge,NO,19860803-5738,+47,74 57 38 80,1986-08-03,True
Heather,Roman,Joshua Brooks 465,North Shelbyport,63339,Danmark,DK,19431219-9658,+45,001-564-959-8627x39092,1943-12-19,True
Tor,Nygård,Myhrevollen 3A,Thorsen,7197,Norge,NO,19930305-3871,+47,465 90 725,1993-03-05,True
Peter,Gustavsson,Gengatan 3,Södertälje,49854,Sverige,SE,19770327-1442,+46,085-06 61 36,1977-03-27,False
Anders,Solberg,Haugenkroken 6E,Emiliebø,9929,Norge,NO,19400629-1116,+47,92632966,1940-06-29,True
Lea,Pettersson,Kvarngatan 1,Örebro,55072,Sverige,SE,19620218-1206,+46,0531-28 31 79,1962-02-18,True
Kathy,Lowe,April Cove 2747,North Pamela,54542,Danmark,DK,19920324-1122,+45,784.412.7465x3966,1992-03-24,True
Jorma,Asikainen,Neulapadonkatu 283,Pelkosenniemi,43543,Finland,FI,19891207-623C,+358,0289435921,1989-12-07,True
Johannes,Mäntylä,Neulapadonbulevardi 90,Soini,66179,Finland,FI,19840820-655A,+358,+358520921425,1984-08-20,True
Catarina,Lundgren,Trädgårdsvägen 39,Karlskrona,64695,Sverige,SE,19501103-8479,+46,08-214 11 79,1950-11-03,True
Eva,Martinsen,Sandviklyngen 9,Arnefjell,7002,Norge,NO,19720507-0339,+47,18749652,1972-05-07,True
Emma,Arnesen,Madsenalléen 06,Steindal,9923,Norge,NO,19500805-8372,+47,45893018,1950-08-05,True
Michael,Alvarez,Anthony Island 09490,South Melaniebury,59971,Danmark,DK,19820719-7642,+45,+1-400-761-2904,1982-07-19,True
Mathilda,Karlsson,Järnvägsgränd 02,Alingsås,67306,Sverige,SE,19900203-6571,+46,076-19 82 80,1990-02-03,True
Kristoffer,Ødegård,Simonsenløkka 3,Stineby,8842,Norge,NO,19830922-6364,+47,45812785,1983-09-22,True
Alice,Ekberg,Björkvägen 644,Motala,74191,Sverige,SE,19811130-6133,+46,+46 (0)636 066 32,1981-11-30,True
Jonas,Hermansson,Villagränd 7,Karlskoga,12098,Sverige,SE,19661123-9928,+46,032-10 78 21,1966-11-23,True
Hanna,Zhang,Idrottsgränd 585,Motala,46959,Sverige,SE,19560924-1731,+46,08-87 40 27,1956-09-24,True
Rune,Jensen,Christensentunet 425,Thorsen,1763,Norge,NO,19860802-5766,+47,48019299,1986-08-02,True
Leonard,Lundqvist,Björktorget 194,Östersund,89319,Finland,SE,19730508-9973,+46,010-34 85 02,1973-05-08,True
Arvid,Pettersson,Storgatan 55,Nyköping,96763,Sverige,SE,19440427-7547,+46,039-01 10 67,1944-04-27,True
Sophia,Hays,Zachary Cape 5272,North Matthew,38060,Danmark,DK,19920601-2535,+45,(337)847-8103x437,1992-06-01,True
Lars,Hassan,Skogsgatan 000,Alingsås,12886,Sverige,SE,19550416-8216,+46,0810-99 54 86,1955-04-16,True
Phillip,Lopez,Barber Lodge 187,West Allisonmouth,61290,Danmark,DK,19610101-5675,+45,(208)607-4934x73542,1961-01-01,True
Cheryl,Blackwell,Rogers Fort 7603,Luisborough,08506,Danmark,DK,19600328-6974,+45,001-909-967-5863x6255,1960-03-28,True
Nina,Persson,Nystigen 9,Västerås,30886,Sverige,SE,19570916-2634,+46,0054-099 88,1957-09-16,True
Lene,Birkeland,Pettersenhavna 4G,Kristoffersen,5247,Norge,NO,19910513-0920,+47,59 21 09 47,1991-05-13,True
Hedda,Ljungberg,Björkvägen 526,Sandviken,43055,Sverige,SE,19980227-9409,+46,0558-01 20 87,1998-02-27,True
Anders,Widén,Åkervägen 8,Trollhättan,22739,Sverige,SE,19620328-8687,+46,+46 (0)8 357 538 30,1962-03-28,True
Stein,Jakobsen,Larsenmyra 6,Ritaborg,3047,Norge,NO,19790914-5725,+47,44 16 18 62,1979-09-14,True
Steven,Smith,Oconnor Mountains 569,Joshuafurt,20492,Danmark,DK,19740516-2423,+45,957-622-4072x800,1974-05-16,True
Jukka,Korhonen,Sapilasbulevardi 07,Jämsä,73067,Finland,FI,19870727-627F,+358,+358 67 2144522,1987-07-27,True
Karin,Dahlqvist,Backgatan 18,Lidköping,38513,Sverige,SE,19640615-6101,+46,08-51 44 50,1964-06-15,True
Elisabeth,Larsson,Björkvägen 143,Lidingö,35655,Sverige,SE,19630601-3128,+46,08-959 50 84,1963-06-01,True
Juan,Tanner,Harper Underpass 46085,Romerofurt,71152,Danmark,DK,19820425-0011,+45,432.418.7584x314,1982-04-25,True
Brian,Boyd,Zachary Prairie 3755,South Erin,20806,Danmark,DK,19840426-2265,+45,(786)609-2908,1984-04-26,True
Anna,Svensson,Ängsvägen 494,Jönköping,27658,Sverige,SE,19960714-5845,+46,078-892 65 83,1996-07-14,True
Jessica,Gutierrez,Kelley Mission 81836,Christineland,39672,Danmark,DK,20000415-2131,+45,881.318.6863x046,2000-04-15,True
Susanne,Ström,Backstigen 498,Sundsvall,63534,Sverige,SE,19860326-9292,+46,0485-398 80,1986-03-26,True
Bo,Liljegren,Skolstigen 451,Borlänge,71077,Sverige,SE,19430309-1580,+46,08-871 03 78,1943-03-09,True
Lise,Aune,Amundsenhavna 9,Bjørndal,2117,Norge,NO,20001227-2597,+47,98175293,2000-12-27,True
Britta,Gunnarsson,Parkgatan 321,Gävle,23732,Sverige,SE,19420227-2003,+46,0419-02 23 63,1942-02-27,True
Maria,Lundberg,Aspvägen 68,Linköping,80852,Sverige,SE,19460614-3214,+46,+46 (0)85 20 36 20,1946-06-14,True
Gustav,Pettersson,Järnvägsgränd 783,Uddevalla,30626,Sverige,SE,19930130-9572,+46,038-93 60 89,1993-01-30,True
Charlie,Christensen,Järnvägsstigen 462,Falun,87422,Sverige,SE,19840609-3532,+46,+46 (0)8 352 925 09,1984-06-09,True
Knut,Mathisen,Sæthergata 13,Jacobsen,1271,Norge,NO,19951225-5648,+47,76 32 08 10,1995-12-25,True
Sture,Pettersson,Villastigen 57,Stockholm,10069,Sverige,SE,19950218-1007,+46,0865-665 10,1995-02-18,True
Brita,Söderqvist,Asptorget 53,Piteå,52484,Sverige,SE,19920911-5920,+46,098-269 03 07,1992-09-11,True
George,Andersson,Skolgatan 09,Uddevalla,83682,Norge,SE,19620710-6281,+46,053-727 80 67,1962-07-10,False
Sakari,Hyttinen,Zaidankatu 9,Loviisa,26701,Finland,FI,19610929-655M,+358,+358 266798285,1961-09-29,True
Ann,Martinsen,Pedersenjordet 15,Johnsund,0722,Norge,NO,19740322-9876,+47,78 69 01 82,1974-03-22,True
Arne,Widén,Kyrkostigen 5,Södertälje,36649,Sverige,SE,19750913-5570,+46,+46 (0)01 37 68 54,1975-09-13,True
Ines,Gustavsson,Parkgatan 2,Trollhättan,18722,Sverige,SE,19410731-7632,+46,+46 (0)8 965 274 05,1941-07-31,True
Hans,Björklund,Storvägen 881,Örebro,67334,Sverige,SE,19430110-2396,+46,08-980 400 96,1943-01-10,True
Pekka,Kallio,Runonlaulajantie 00,Lappajärvi,51467,Finland,FI,19500122-846K,+358,+358 062346343,1950-01-22,True
Henrik,Lien,Nygårdringen 2,Steinhamn,8285,Norge,NO,19470130-4492,+47,82355222,1947-01-30,True
Ingeborg,Johansson,Industritorget 77,Lund,29973,Sverige,SE,19530212-1575,+46,+46 (0)92 44 94 94,1953-02-12,True
Michele,Ashley,Campbell Forges 544,Joelfurt,59406,Danmark,DK,19540221-5486,+45,9379615363,1954-02-21,True
Margareta,Jonsson,Skolstigen 73,Västerås,70863,Sverige,SE,19710710-8422,+46,0565-97 56 61,1971-07-10,True
George,Morrow,Costa Land 2543,East Angelicahaven,07053,Danmark,DK,19740212-1480,+45,+1-410-464-3590x64205,1974-02-12,True
Adam,Sundström,Villatorget 33,Jönköping,56707,Sverige,SE,19400117-6932,+46,+46 (0)069 018 03,1940-01-17,True
Göran,Ivarsson,Björkstigen 848,Skellefteå,20883,Sverige,SE,19790602-4024,+46,08-83 14 22,1979-06-02,True
Tapani,Korhonen,Fallpakanpolku 18,Sievi,18602,Finland,FI,19591010-879V,+358,049 914 3391,1959-10-10,True
Kim,Engen,Aasrøa 8B,Emiliegrunn,3794,Norge,NO,19560326-1993,+47,95632366,1956-03-26,True
Amanda,Sjöberg,Parkstigen 2,Lund,37833,Sverige,SE,19540809-1373,46,0580-429 12,1954-08-09,True
Julie,Oliver,Jeremy Neck 5436,West Elizabeth,42338,Danmark,DK,19410125-9871,+45,801.588.9161,1941-01-25,True
Johnathan,Nichols,Williams Glens 698,Burnettchester,81369,Danmark,DK,19800904-2681,+45,900-942-7578,1980-09-04,True
Birgitta,Mattsson,Strandgränd 31,Alingsås,98419,Sverige,SE,19480105-1099,+46,08-91 57 50,1948-01-05,True
Camilla,Lidén,Åkertorget 6,Alingsås,96406,Sverige,SE,19630509-2950,+46,08-098 70 65,1963-05-09,True
Jamie,Payne,Katie Cliff 3112,Mariachester,35978,Danmark,DK,19541012-8054,+45,287.759.2636,1954-10-12,True
Ingegerd,Forsberg,Parkstigen 4,Kristianstad,91250,Sverige,SE,19860710-7461,+46,08-523 21 54,1986-07-10,True
Sigge,Axelsson,Idrottsstigen 898,Jönköping,31903,Sverige,SE,19590221-1934,+46,0751-85 10 26,1959-02-21,True
Carrie,Li,Peter Valley 2920,Trujillobury,41517,Danmark,DK,19701118-7239,+358,(739)308-6207x5643,1970-11-18,True
